"","AST-1065","AST-1147","AST-1412","AST-1560","AST-1567","AST-1617","AST-1722","AST-2000","AST-2007","AST-2302","AST-2360","AST-2398","AST-2404","AST-2412","AST-2512","AST-2523","AST-2563","AST-2729","AST-2755","Gene","Module"
"Cluster_30_chromosome_1:2984897-2984988",38,1366,118,12,449,158,613,129,97,294,22,346,105,17,2,88,85,44,140,"Cluster_30_chromosome_1:2984897-2984988","blue"
"Cluster_137_chromosome_1:16932585-16932677",16,2593,310,2,92,112,815,154,85,845,23,553,258,20,5,44,69,37,117,"Cluster_137_chromosome_1:16932585-16932677","turquoise"
"Cluster_247_chromosome_2:2155518-2155610",187,1815,249,5,306,175,529,165,413,441,19,410,320,71,13,137,96,48,191,"Cluster_247_chromosome_2:2155518-2155610","yellow"
"Cluster_449_chromosome_2:20014602-20014694",16,906,113,3,62,147,232,28,114,315,21,181,111,0,16,53,52,15,72,"Cluster_449_chromosome_2:20014602-20014694","yellow"
"Cluster_492_chromosome_3:3503348-3503440",1660,79813,3269,112,8029,13268,18994,6646,9061,16691,1388,22246,8927,1686,423,9490,6282,497,11119,"Cluster_492_chromosome_3:3503348-3503440","black"
"Cluster_508_chromosome_3:4941258-4941354",983,15968,1711,46,2109,1891,4948,1813,1711,3100,235,4121,1755,690,246,2701,1416,840,2896,"Cluster_508_chromosome_3:4941258-4941354","brown"
"Cluster_860_chromosome_4:10324776-10324865",18,576,54,3,131,59,272,71,52,150,17,307,153,23,3,33,8,16,98,"Cluster_860_chromosome_4:10324776-10324865","turquoise"
"Cluster_995_chromosome_4:21646377-21646462",602,12696,447,63,849,685,3313,624,763,2174,81,2064,718,95,48,629,252,113,651,"Cluster_995_chromosome_4:21646377-21646462","blue"
"Cluster_996_chromosome_4:21646970-21647061",128,627,67,3,129,201,1968,162,189,1167,14,679,217,15,6,164,63,70,537,"Cluster_996_chromosome_4:21646970-21647061","blue"
"Cluster_998_chromosome_4:21649547-21649634",152,2017,81,3,260,153,1135,291,118,419,26,307,79,35,19,150,19,44,251,"Cluster_998_chromosome_4:21649547-21649634","blue"
"Cluster_1155_chromosome_5:8149568-8149660",52,1064,109,6,130,227,620,129,160,321,9,249,139,12,9,66,35,56,216,"Cluster_1155_chromosome_5:8149568-8149660","blue"
"Cluster_1192_chromosome_5:12612059-12612149",11,619,36,0,47,46,59,18,64,161,23,86,48,8,1,28,17,23,53,"Cluster_1192_chromosome_5:12612059-12612149","red"
"Cluster_1411_chromosome_6:4849414-4849507",201,4479,409,7,991,1732,4036,1130,670,3285,15,2629,662,142,94,1170,371,104,1632,"Cluster_1411_chromosome_6:4849414-4849507","blue"
"Cluster_1452_chromosome_6:9195228-9195318",423,7674,403,2,419,1934,657,399,834,2331,81,650,1373,433,98,852,802,88,428,"Cluster_1452_chromosome_6:9195228-9195318","yellow"
"Cluster_1453_chromosome_6:9302199-9302289",196,741,121,8,143,190,149,312,552,1223,42,277,377,98,18,221,167,53,109,"Cluster_1453_chromosome_6:9302199-9302289","yellow"
"Cluster_1473_chromosome_6:10443372-10443462",28,221,21,1,44,24,89,42,34,85,4,72,64,5,0,19,13,28,52,"Cluster_1473_chromosome_6:10443372-10443462","blue"
"Cluster_1483_chromosome_6:11028835-11028927",9,1358,9,1,42,152,292,31,25,143,10,315,36,18,1,48,67,8,57,"Cluster_1483_chromosome_6:11028835-11028927","black"
"Cluster_1567_chromosome_6:15161760-15161851",0,347,7,0,6,0,84,0,7,0,3,41,0,2,2,0,1,0,17,"Cluster_1567_chromosome_6:15161760-15161851","green"
"Cluster_1663_chromosome_6:21902734-21902826",35,322,42,0,44,44,77,31,30,76,14,139,65,9,4,32,27,11,16,"Cluster_1663_chromosome_6:21902734-21902826","red"
"Cluster_1765_chromosome_7:1696720-1696810",14,865,22,1,75,54,154,69,26,118,10,161,29,7,3,22,9,8,40,"Cluster_1765_chromosome_7:1696720-1696810","turquoise"
"Cluster_1772_chromosome_7:2303817-2303911",8,1227,61,3,119,57,527,94,23,59,15,225,116,14,7,27,27,33,155,"Cluster_1772_chromosome_7:2303817-2303911","turquoise"
"Cluster_2003_chromosome_7:21599176-21599270",13665,170615,33410,3406,13113,22472,50064,17084,23357,52990,6643,55383,24585,14754,6712,29997,26418,4586,22770,"Cluster_2003_chromosome_7:21599176-21599270","brown"
"Cluster_2073_chromosome_7:28589761-28589956",104,5636,295,23,1373,170,1051,996,402,1598,106,900,2782,153,82,550,130,151,528,"Cluster_2073_chromosome_7:28589761-28589956","turquoise"
"Cluster_2097_chromosome_8:223816-223904",96,5466,338,6,492,322,891,458,610,579,90,916,555,68,44,305,121,20,561,"Cluster_2097_chromosome_8:223816-223904","green"
