"","miRNA","mRNA","PCC.cor_tp0","p_value_tp0","PCC.cor_tp7_amb","p_value_tp7_amb","sign_switch","PCC_change","abs_PCC_change","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Swiss.Prot_Hit","SP_E.value","Swiss.Prot_Description","Trembl_Hit","TB_E.value","Trembl_Description","NCBI_hit","nr_E.value","NCBI_Description","GO_Swiss.Prot","GO_Trembl","miRNA_repression_inferred"
"1","Cluster_1453","evm.TU.chromosome_3.1068",-0.477196632594537,0.522803367405463,0.997645136650473,0.043698168825777,TRUE,1.47484176924501,1.47484176924501,869.676879061632,-1.45709667790179,0.381342915514709,-3.82096170827011,0.000132932292589254,0.0100911077133391,"sp|O43184|ADA12_HUMAN",2.01e-20,"Disintegrin and metalloproteinase domain-containing protein 12 OS=Homo sapiens GN=ADAM12 PE=1 SV=3","tr|A0A2B4RAW4|A0A2B4RAW4_STYPI",0,"Disintegrin and metalloproteinase domain-containing protein 9 OS=Stylophora pistillata GN=ADAM9 PE=4 SV=1","ref|XP_022808967.1|",0,"LOW QUALITY PROTEIN: uncharacterized protein LOC111345943 [Stylophora pistillata]","GO:0005615; GO:0016021; GO:0005654; GO:0005886; GO:0046872; GO:0004222; GO:0008237; GO:0017124; GO:0007155; GO:0030198; GO:0007520","GO:0005576; GO:0016021; GO:0046872; GO:0004222; GO:0007229","miRNA repression of mRNA at TP0"
"2","Cluster_1453","evm.TU.chromosome_9.596",-0.658676093412646,0.341323906587354,0.997187323279333,0.0477591816808821,TRUE,1.65586341669198,1.65586341669198,88.8324992170436,-1.92453672628909,0.568861613941821,-3.38313691611809,0.000716628958405339,0.0321016619712712,"sp|Q8N0W4|NLGNX_HUMAN",1.48e-98,"Neuroligin-4, X-linked OS=Homo sapiens GN=NLGN4X PE=1 SV=1","tr|A0A2B4SZ81|A0A2B4SZ81_STYPI",0,"Neuroligin-4, X-linked OS=Stylophora pistillata GN=NLGN4X PE=4 SV=1","ref|XP_022794536.1|",0,"uncharacterized protein LOC111333254 [Stylophora pistillata]","GO:0098985; GO:0030054; GO:0009986; GO:0030425; GO:0060076; GO:0016021; GO:0005887; GO:0005886; GO:0014069; GO:0045211; GO:0089717; GO:0098983; GO:0045202; GO:0052689; GO:0050839; GO:0031404; GO:0042043; GO:0042803; GO:0004872; GO:0097110; GO:0030534; GO:0003360; GO:0045216; GO:0021549; GO:0007612; GO:0090394; GO:0007158; GO:0030182; GO:0035265; GO:0097104; GO:0099054; GO:0097105; GO:0035176; GO:0050808; GO:0048488; GO:0071625","GO:0016787","miRNA repression of mRNA at TP0"
"3","Cluster_1483","evm.TU.chromosome_12.687",-0.96484548936045,0.0351545106395498,0.217468369155655,0.860440205418158,TRUE,1.18231385851611,1.18231385851611,94.6138875234874,-5.83765903710983,1.05719285760593,-5.52184872902897,3.35451237284614e-08,1.56388609234077e-05,"sp|Q4LDE5|SVEP1_HUMAN",8.12e-09,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Homo sapiens GN=SVEP1 PE=1 SV=3","tr|A7S0A0|A7S0A0_NEMVE",0,"Predicted protein OS=Nematostella vectensis GN=v1g204809 PE=4 SV=1","ref|XP_020621592.1|",0,"uncharacterized protein LOC110059232 [Orbicella faveolata]","GO:0005737; GO:0005615; GO:0016020; GO:0005509; GO:0003682; GO:0007155","","miRNA repression of mRNA at TP0"
"4","Cluster_2097","evm.TU.chromosome_7.2698",-0.993556753731975,0.00644324626802494,0.989181716453222,0.0937274078968238,TRUE,1.9827384701852,1.9827384701852,172.229862939377,1.76240792457794,0.525191381017808,3.35574418826607,0.000791517458192861,0.0344274769057457,"sp|Q8BQ48|CE295_MOUSE",3.6e-44,"Centrosomal protein of 295 kDa OS=Mus musculus GN=Cep295 PE=1 SV=3","tr|A0A2B4S9Y2|A0A2B4S9Y2_STYPI",0,"Centrosomal protein KIAA1731-like protein OS=Stylophora pistillata GN=AWC38_SpisGene9503 PE=4 SV=1","ref|XP_020614543.1|",0,"centrosomal protein of 295 kDa-like isoform X1 [Orbicella faveolata]","GO:0005814; GO:0005813; GO:0005737; GO:0005856; GO:0005829; GO:0005886; GO:1902117","GO:0005813","High mRNA expression at TP0, regardless of correlation"
"5","Cluster_3406","evm.TU.chromosome_6.2772",-0.962732484392033,0.0372675156079669,0.556601399689167,0.624210153365014,TRUE,1.5193338840812,1.5193338840812,1247.50308572121,-1.24227955151184,0.333456669540927,-3.7254602021369,0.000194959211489815,0.0130728302841881,"sp|Q9Z0X1|AIFM1_MOUSE",0,"Apoptosis-inducing factor 1, mitochondrial OS=Mus musculus GN=Aifm1 PE=1 SV=1","tr|A0A2B4RRE9|A0A2B4RRE9_STYPI",0,"Apoptosis-inducing factor 1, mitochondrial OS=Stylophora pistillata GN=AIFM1 PE=4 SV=1","gb|PFX21014.1|",0,"apoptosis-inducing factor 1, mitochondrial-like [Stylophora pistillata]","GO:0005737; GO:0005829; GO:0005743; GO:0005758; GO:0005741; GO:0005739; GO:0005634; GO:0048471; GO:0003677; GO:0004174; GO:0071949; GO:0016174; GO:0016651; GO:0046983; GO:0006919; GO:0008637; GO:0006915; GO:1904045; GO:0071392; GO:0070301; GO:0071732; GO:0090650; GO:0070059; GO:0032981; GO:0051402; GO:0030182; GO:0043065; GO:0010942; GO:0043525; GO:1902510; GO:0002931; GO:1902065; GO:0006979","GO:0016021; GO:0050660; GO:0016491; GO:0046983","miRNA repression of mRNA at TP0"
"6","Cluster_3730","evm.TU.chromosome_12.1802",0.957530063288174,0.0424699367118263,-0.956443314946353,0.188586951788719,TRUE,-1.91397337823453,1.91397337823453,245.21838304929,-1.57215155645178,0.372080127116544,-4.22530375012302,2.38618697912686e-05,0.00266987809775639,"sp|Q7T2H2|FGRL1_CHICK",5.93e-34,"Fibroblast growth factor receptor-like 1 OS=Gallus gallus GN=FGFRL1 PE=1 SV=1","tr|A0A2B4SPM2|A0A2B4SPM2_STYPI",0,"Fibroblast growth factor receptor-like 1 OS=Stylophora pistillata GN=FGFRL1 PE=4 SV=1","ref|XP_020606919.1|",0,"fibroblast growth factor receptor-like 1 isoform X1 [Orbicella faveolata]","GO:0016021; GO:0005886; GO:0008201; GO:0008285","GO:0016021","High mRNA expression at TP7 ambient, regardless of correlation"
"7","Cluster_4044","evm.TU.chromosome_9.2583",-0.957953899406142,0.0420461005938579,0.82852542110774,0.378360447411002,TRUE,1.78647932051388,1.78647932051388,427.09299887966,1.95038313319259,0.338577244991743,5.76052632609778,8.38520499595503e-09,5.24848738224891e-06,"sp|Q6PR54|RIF1_MOUSE",6.29e-170,"Telomere-associated protein RIF1 OS=Mus musculus GN=Rif1 PE=1 SV=2","tr|A0A2B4S9E8|A0A2B4S9E8_STYPI",0,"Telomere-associated protein RIF1 OS=Stylophora pistillata GN=RIF1 PE=4 SV=1","ref|XP_022791524.1|",0,"telomere-associated protein RIF1-like isoform X3 [Stylophora pistillata]","GO:0000781; GO:0000793; GO:0005737; GO:0001939; GO:0001940; GO:0016604; GO:0000790; GO:0031965; GO:0005634; GO:0005886; GO:0035861; GO:0051233; GO:0007049; GO:0006974; GO:1990830; GO:0006348; GO:0006281; GO:2000042; GO:0000122; GO:2001034; GO:0051574; GO:0045830; GO:0019827; GO:0000723; GO:0043247","","High mRNA expression at TP0, regardless of correlation"
"8","Cluster_4646","evm.TU.chromosome_6.840",0.967384743843831,0.0326152561561689,-0.497829560359114,0.668261017138577,TRUE,-1.46521430420295,1.46521430420295,115.521375088678,2.04435350798814,0.575993639116487,3.54926403549171,0.000386309517423415,0.0206045383498612,"sp|Q98SN7|WNT2B_CHICK",1.35e-133,"Protein Wnt-2b OS=Gallus gallus GN=WNT2B PE=2 SV=1","tr|A0A2B4SU99|A0A2B4SU99_STYPI",0,"Protein Wnt-2b OS=Stylophora pistillata GN=WNT2B PE=4 SV=1","ref|XP_020605098.1|",0,"protein Wnt-2b-A-like [Orbicella faveolata]","GO:0005615; GO:0005578; GO:0005109; GO:0060219; GO:0060070; GO:0045165; GO:0008283; GO:0061303; GO:0060900; GO:0035115; GO:0061072; GO:0002088; GO:0060173; GO:0002011; GO:0045686; GO:0045665; GO:0003407; GO:0030182; GO:0090271; GO:0045743; GO:0060828; GO:0090270; GO:0010842; GO:0016055","GO:0005578; GO:0005102; GO:0007275; GO:0016055","miRNA repression of mRNA at TP7 ambient"
"9","Cluster_4831","evm.TU.chromosome_9.2874",0.309619762245507,0.690380237754493,-0.999789166561562,0.013072916800688,TRUE,-1.30940892880707,1.30940892880707,8621.89171007153,-1.68011240151303,0.41400932607374,-4.05815109878414,4.94627623603859e-05,0.00466376420383039,"sp|A0MSJ1|CRA1B_DANRE",8.77e-80,"Collagen alpha-1(XXVII) chain B OS=Danio rerio GN=col27a1b PE=2 SV=1","tr|A0A2B4SXQ8|A0A2B4SXQ8_STYPI",0,"Collagen alpha-1(XXVII) chain B OS=Stylophora pistillata GN=col27a1b PE=4 SV=1","ref|XP_020616319.1|",0,"collagen alpha-1(I) chain-like [Orbicella faveolata]","GO:0005581; GO:0005578; GO:0005201; GO:0046872; GO:0030282; GO:0048570; GO:0001501","GO:0005581; GO:0005201","High mRNA expression at TP7 ambient, regardless of correlation"
"10","Cluster_492","evm.TU.chromosome_4.2503",-0.131640542682308,0.868359457317692,0.998388289627334,0.0361490566407453,TRUE,1.13002883230964,1.13002883230964,883.00025225288,1.29731532620157,0.294734461753198,4.40164111955089,1.07435155655607e-05,0.00149793016222303,"sp|P09057|DCOR_RAT",1.69e-165,"Ornithine decarboxylase OS=Rattus norvegicus GN=Odc1 PE=1 SV=1","tr|A0A2B4RZV9|A0A2B4RZV9_STYPI",0,"Ornithine decarboxylase OS=Stylophora pistillata GN=Odc1 PE=4 SV=1","ref|XP_020623629.1|",0,"ornithine decarboxylase-like [Orbicella faveolata]","GO:0005737; GO:0005829; GO:0048471; GO:0004586; GO:0042803; GO:0001822; GO:0006595; GO:0008284; GO:0009446; GO:0033387; GO:0042176; GO:0009615","GO:0003824; GO:0006596","High mRNA expression at TP0, regardless of correlation"
