"","X","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","Swiss.Prot_Hit.x","SP_E.value.x","Swiss.Prot_Description.x","Trembl_Hit.x","TB_E.value.x","Trembl_Description.x","NCBI_hit.x","nr_E.value.x","NCBI_Description.x","GO_Swiss.Prot.x","GO_Trembl.x","baseMean.x","log2FoldChange.x","lfcSE.x","stat.x","pvalue.x","padj.x","baseMean.y","log2FoldChange.y","lfcSE.y","stat.y","pvalue.y","padj.y","Swiss.Prot_Hit.y","SP_E.value.y","Swiss.Prot_Description.y","Trembl_Hit.y","TB_E.value.y","Trembl_Description.y","NCBI_hit.y","nr_E.value.y","NCBI_Description.y","GO_Swiss.Prot.y","GO_Trembl.y"
"1",180,"Cluster_3293","evm.TU.chromosome_7.1248",0.02043940037221,0.933809417485062,0.991131662423392,166,-23.47,"2 19","926 946",17,"76.47%","88.24%","sp|Q9BY44|EIF2A_HUMAN",0,"Eukaryotic translation initiation factor 2A OS=Homo sapiens GN=EIF2A PE=1 SV=3","tr|A7S8G4|A7S8G4_NEMVE",0,"Eukaryotic translation initiation factor 2A OS=Nematostella vectensis GN=v1g243561 PE=3 SV=1","ref|XP_020630454.1|",0,"eukaryotic translation initiation factor 2A-like [Orbicella faveolata]","GO:0072562; GO:0005737; GO:0022627; GO:0005850; GO:0005615; GO:0045296; GO:0003729; GO:0043022; GO:0003743; GO:0000049; GO:0009967; GO:0006468; GO:0006417; GO:1990928; GO:0042255; GO:0032933","GO:0022627; GO:0003729; GO:0043022; GO:0003743; GO:0000049; GO:0006417",49.3713145219176,2.33796039371305,0.740875389623429,3.15567290594089,0.00160128324534017,0.0438576725046241,178.864135154078,-1.34713957796901,0.48716786035065,-2.76524723326243,0.00568796678351067,0.0322318117732271,"sp|Q9BY44|EIF2A_HUMAN",0,"Eukaryotic translation initiation factor 2A OS=Homo sapiens GN=EIF2A PE=1 SV=3","tr|A7S8G4|A7S8G4_NEMVE",0,"Eukaryotic translation initiation factor 2A OS=Nematostella vectensis GN=v1g243561 PE=3 SV=1","ref|XP_020630454.1|",0,"eukaryotic translation initiation factor 2A-like [Orbicella faveolata]","GO:0072562; GO:0005737; GO:0022627; GO:0005850; GO:0005615; GO:0045296; GO:0003729; GO:0043022; GO:0003743; GO:0000049; GO:0009967; GO:0006468; GO:0006417; GO:1990928; GO:0042255; GO:0032933","GO:0022627; GO:0003729; GO:0043022; GO:0003743; GO:0000049; GO:0006417"
"2",607,"Cluster_4640","evm.TU.chromosome_7.2395",0.823000503472346,1.51023493399505e-05,0.0235480666212498,162,-22.07,"2 20","1 23",20,"75.00%","80.00%",NA,NA,NA,"tr|A7S2G0|A7S2G0_NEMVE",1.52e-91,"Predicted protein OS=Nematostella vectensis GN=v1g205757 PE=4 SV=1","ref|XP_020602359.1|",3.53e-173,"uncharacterized protein LOC110041422 [Orbicella faveolata]",NA,"GO:0016021; GO:0004930",66.8640288986638,2.80298429067451,0.713251263234691,3.92986936744086,8.49920236776352e-05,0.00551531797854196,215.822022824727,1.86456530997321,0.471957775087441,3.95070366120732,7.79217578122774e-05,0.000993502412106537,NA,NA,NA,"tr|A7S2G0|A7S2G0_NEMVE",1.52e-91,"Predicted protein OS=Nematostella vectensis GN=v1g205757 PE=4 SV=1","ref|XP_020602359.1|",3.53e-173,"uncharacterized protein LOC110041422 [Orbicella faveolata]",NA,"GO:0016021; GO:0004930"
"3",817,"Cluster_4831","evm.TU.chromosome_14.5787",-0.140313053955428,0.566688379799611,0.920406471711771,162,-22.87,"2 20","799 821",19,"78.95%","78.95%","sp|P0C862|C1T9A_HUMAN",8.46e-13,"Complement C1q and tumor necrosis factor-related protein 9A OS=Homo sapiens GN=C1QTNF9 PE=1 SV=1","tr|A0A2B4S083|A0A2B4S083_STYPI",6.59e-39,"Latrophilin-3 OS=Stylophora pistillata GN=LPHN3 PE=4 SV=1","ref|XP_020600780.1|",1.84e-58,"collagen triple helix repeat-containing protein 1-like [Orbicella faveolata]","GO:0005581; GO:0005576; GO:0005179; GO:0042802","GO:0016021; GO:0004930; GO:0005525; GO:0007166",42.0962356930476,5.89720411226979,1.34470505685307,4.38550006353858,1.15719624355217e-05,0.00113712243116402,795.128730283475,-1.78087240123925,0.557525288636441,-3.1942450639231,0.00140197050064574,0.0119167492554888,"sp|P0C862|C1T9A_HUMAN",8.46e-13,"Complement C1q and tumor necrosis factor-related protein 9A OS=Homo sapiens GN=C1QTNF9 PE=1 SV=1","tr|A0A2B4S083|A0A2B4S083_STYPI",6.59e-39,"Latrophilin-3 OS=Stylophora pistillata GN=LPHN3 PE=4 SV=1","ref|XP_020600780.1|",1.84e-58,"collagen triple helix repeat-containing protein 1-like [Orbicella faveolata]","GO:0005581; GO:0005576; GO:0005179; GO:0042802","GO:0016021; GO:0004930; GO:0005525; GO:0007166"
"4",946,"Cluster_3037","evm.TU.chromosome_4.1369",-0.42400860271263,0.0704196566266524,0.624220350227971,146,-22.35,"2 20","408 435",25,"60.00%","68.00%","sp|Q3B7D3|TECT2_RAT",3.23e-42,"Tectonic-2 OS=Rattus norvegicus GN=Tctn2 PE=2 SV=1","tr|A0A2B4SSD2|A0A2B4SSD2_STYPI",0,"Tectonic-2 OS=Stylophora pistillata GN=Tctn2 PE=4 SV=1","ref|XP_020616336.1|",0,"uncharacterized protein LOC110054296 isoform X1 [Orbicella faveolata]","GO:0005737; GO:0005856; GO:0016021; GO:0036038; GO:0060271; GO:1904491; GO:0007224","GO:0016021",307.991592821849,1.34179660283916,0.428791704743774,3.1292503749366,0.00175252908467188,0.0468281217685634,3753.66207843411,-1.90572928544964,0.407516269745857,-4.67644957252414,2.91884333772144e-06,0.00012330016261007,"sp|Q3B7D3|TECT2_RAT",3.23e-42,"Tectonic-2 OS=Rattus norvegicus GN=Tctn2 PE=2 SV=1","tr|A0A2B4SSD2|A0A2B4SSD2_STYPI",0,"Tectonic-2 OS=Stylophora pistillata GN=Tctn2 PE=4 SV=1","ref|XP_020616336.1|",0,"uncharacterized protein LOC110054296 isoform X1 [Orbicella faveolata]","GO:0005737; GO:0005856; GO:0016021; GO:0036038; GO:0060271; GO:1904491; GO:0007224","GO:0016021"
"5",1263,"Cluster_3037","evm.TU.chromosome_13.2488",-0.341494948459656,0.152451212176866,0.738504849079592,165,-20.68,"2 20","915 934",18,"83.33%","83.33%",NA,NA,NA,"tr|A0A2B4SR76|A0A2B4SR76_STYPI",0,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene4247 PE=4 SV=1","ref|XP_020626800.1|",0,"uncharacterized protein LOC110064137 [Orbicella faveolata]",NA,"",528.399910190848,3.85963670546501,1.01553551285381,3.80059255103629,0.000144350490199723,0.00828030895057101,3753.66207843411,-1.90572928544964,0.407516269745857,-4.67644957252414,2.91884333772144e-06,0.00012330016261007,NA,NA,NA,"tr|A0A2B4SR76|A0A2B4SR76_STYPI",0,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene4247 PE=4 SV=1","ref|XP_020626800.1|",0,"uncharacterized protein LOC110064137 [Orbicella faveolata]",NA,""
"6",1290,"Cluster_8986","evm.TU.chromosome_12.3587",0.653876430696345,0.00239199445244772,0.218442678121405,164,-22.26,"2 19","224 244",17,"82.35%","88.24%","sp|P21399|ACOC_HUMAN",0,"Cytoplasmic aconitate hydratase OS=Homo sapiens GN=ACO1 PE=1 SV=3","tr|A0A2B4RS02|A0A2B4RS02_STYPI",0,"Cytoplasmic aconitate hydratase OS=Stylophora pistillata GN=ACO1 PE=4 SV=1","ref|XP_020616183.1|",0,"cytoplasmic aconitate hydratase-like isoform X1 [Orbicella faveolata]","GO:0005737; GO:0005829; GO:0005783; GO:0070062; GO:0005794; GO:0005739; GO:0051538; GO:0051539; GO:0003994; GO:0030350; GO:0046872; GO:0003723; GO:0006879; GO:0006101; GO:0050892; GO:0009791; GO:0006417; GO:0010040; GO:0006099","GO:0005737; GO:0051539; GO:0003994; GO:0006879; GO:0008152; GO:0010040",1186.65532987013,1.01500175573235,0.248116511767227,4.09082712191516,4.29837460647305e-05,0.00327479014717844,28.293209411282,1.92213709315473,0.5619774348156,3.42031009445323,0.000625497908391531,0.00638007866559362,"sp|P21399|ACOC_HUMAN",0,"Cytoplasmic aconitate hydratase OS=Homo sapiens GN=ACO1 PE=1 SV=3","tr|A0A2B4RS02|A0A2B4RS02_STYPI",0,"Cytoplasmic aconitate hydratase OS=Stylophora pistillata GN=ACO1 PE=4 SV=1","ref|XP_020616183.1|",0,"cytoplasmic aconitate hydratase-like isoform X1 [Orbicella faveolata]","GO:0005737; GO:0005829; GO:0005783; GO:0070062; GO:0005794; GO:0005739; GO:0051538; GO:0051539; GO:0003994; GO:0030350; GO:0046872; GO:0003723; GO:0006879; GO:0006101; GO:0050892; GO:0009791; GO:0006417; GO:0010040; GO:0006099","GO:0005737; GO:0051539; GO:0003994; GO:0006879; GO:0008152; GO:0010040"
"7",1317,"Cluster_1453","evm.TU.chromosome_13.4161",0.15520481080721,0.525782823057394,0.909385601206528,154,-20.97,"2 21","433 450",19,"78.95%","78.95%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.526170877037,-3.42844383441188,0.826004326773876,-4.15063665320296,3.31551744604101e-05,0.00265329214957365,183.711563238798,-2.29617526735665,0.502246470096507,-4.57180966730426,4.83530049451256e-06,0.00012330016261007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1389,"Cluster_1453","evm.TU.chromosome_5.1708",-0.296297002496897,0.218046170971026,0.789072560376215,157,-24.41,"2 20","553 578",22,"68.18%","81.82%","sp|Q5XIU9|PGRC2_RAT",5.3e-28,"Membrane-associated progesterone receptor component 2 OS=Rattus norvegicus GN=Pgrmc2 PE=1 SV=1","tr|A0A2B4SNY3|A0A2B4SNY3_STYPI",3.59e-106,"Membrane-associated progesterone receptor component 2 OS=Stylophora pistillata GN=PGRMC2 PE=4 SV=1","ref|XP_020607341.1|",2.26e-132,"membrane-associated progesterone receptor component 2-like [Orbicella faveolata]","GO:0012505; GO:0016021; GO:0016020; GO:0005635; GO:0020037; GO:0005496","",212.612385276199,1.74293722731516,0.482815077916725,3.6099477978933,0.000306258634052941,0.0141190014309506,183.711563238798,-2.29617526735665,0.502246470096507,-4.57180966730426,4.83530049451256e-06,0.00012330016261007,"sp|Q5XIU9|PGRC2_RAT",5.3e-28,"Membrane-associated progesterone receptor component 2 OS=Rattus norvegicus GN=Pgrmc2 PE=1 SV=1","tr|A0A2B4SNY3|A0A2B4SNY3_STYPI",3.59e-106,"Membrane-associated progesterone receptor component 2 OS=Stylophora pistillata GN=PGRMC2 PE=4 SV=1","ref|XP_020607341.1|",2.26e-132,"membrane-associated progesterone receptor component 2-like [Orbicella faveolata]","GO:0012505; GO:0016021; GO:0016020; GO:0005635; GO:0020037; GO:0005496",""
"9",1531,"Cluster_8986","evm.TU.chromosome_10.2297",-0.346056584986683,0.146693499935275,0.732737281544614,176,-20.52,"2 21","941 962",19,"84.21%","84.21%","sp|P70490|MFGM_RAT",1.27e-34,"Lactadherin OS=Rattus norvegicus GN=Mfge8 PE=2 SV=1","tr|A0A2B4SZA3|A0A2B4SZA3_STYPI",0,"Coagulation factor VIII OS=Stylophora pistillata GN=F8 PE=4 SV=1","ref|XP_022795723.1|",0,"LOW QUALITY PROTEIN: uncharacterized protein LOC111334289 [Stylophora pistillata]","GO:0009897; GO:0070062; GO:0031012; GO:0005615; GO:1903561; GO:0019897; GO:0016020; GO:0005178; GO:0008429; GO:0001786; GO:0001525; GO:0007155; GO:0006911; GO:0006910; GO:2000427; GO:0008284; GO:0050766; GO:0043627; GO:0007338","",19.4256244649088,-4.27965263252167,1.20686738556809,-3.5460835910378,0.000391002155993662,0.0163145445514307,28.293209411282,1.92213709315473,0.5619774348156,3.42031009445323,0.000625497908391531,0.00638007866559362,"sp|P70490|MFGM_RAT",1.27e-34,"Lactadherin OS=Rattus norvegicus GN=Mfge8 PE=2 SV=1","tr|A0A2B4SZA3|A0A2B4SZA3_STYPI",0,"Coagulation factor VIII OS=Stylophora pistillata GN=F8 PE=4 SV=1","ref|XP_022795723.1|",0,"LOW QUALITY PROTEIN: uncharacterized protein LOC111334289 [Stylophora pistillata]","GO:0009897; GO:0070062; GO:0031012; GO:0005615; GO:1903561; GO:0019897; GO:0016020; GO:0005178; GO:0008429; GO:0001786; GO:0001525; GO:0007155; GO:0006911; GO:0006910; GO:2000427; GO:0008284; GO:0050766; GO:0043627; GO:0007338",""
"10",1592,"Cluster_8986","evm.TU.chromosome_11.2336",0.443136940529954,0.0574049798932981,0.593863850274747,174,-21.77,"2 21","129 149",19,"84.21%","89.47%","sp|O14036|SMD2_SCHPO",2.36e-55,"Small nuclear ribonucleoprotein Sm D2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=smd2 PE=1 SV=1","tr|A0A2B4SCW0|A0A2B4SCW0_STYPI",1.16e-78,"Small nuclear ribonucleoprotein Sm D2 OS=Stylophora pistillata GN=Snrpd2 PE=4 SV=1","ref|XP_020604241.1|",7.38e-82,"small nuclear ribonucleoprotein Sm D2 [Orbicella faveolata]","GO:0071013; GO:0005634; GO:0071014; GO:0071011; GO:0000974; GO:0005681; GO:0005685; GO:0005686; GO:0071004; GO:0046540; GO:0005682; GO:0000395; GO:0045292; GO:0000387","GO:0030532; GO:0019013; GO:0008380",310.672586662322,1.26247991554342,0.348239164055879,3.62532433411436,0.000288599019421075,0.0136687044527688,28.293209411282,1.92213709315473,0.5619774348156,3.42031009445323,0.000625497908391531,0.00638007866559362,"sp|O14036|SMD2_SCHPO",2.36e-55,"Small nuclear ribonucleoprotein Sm D2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=smd2 PE=1 SV=1","tr|A0A2B4SCW0|A0A2B4SCW0_STYPI",1.16e-78,"Small nuclear ribonucleoprotein Sm D2 OS=Stylophora pistillata GN=Snrpd2 PE=4 SV=1","ref|XP_020604241.1|",7.38e-82,"small nuclear ribonucleoprotein Sm D2 [Orbicella faveolata]","GO:0071013; GO:0005634; GO:0071014; GO:0071011; GO:0000974; GO:0005681; GO:0005685; GO:0005686; GO:0071004; GO:0046540; GO:0005682; GO:0000395; GO:0045292; GO:0000387","GO:0030532; GO:0019013; GO:0008380"
