"","mRNA","GO","Term","Annotated","Significant","Expected","Fisher","ontology","X","miRNA","PCC.cor","p_value","adjusted_p_value","mRNA_log2FoldChange","mRNA_padj","mRNA_DE","mRNA_comparison","miRNA_log2FoldChange","miRNA_padj","miRNA_DE","miRNA_comparison","NCBI_Description","Swiss.Prot_Description","score","energy","query_similar","subject_similar","total_bp_shared","GO_Swiss.Prot","GO_Trembl","direction"
"1","evm.TU.chromosome_1.1781","GO:0006182","cGMP biosynthetic process",29,1,0.05,0.0027,"Biological Processes",99,"Cluster_1452",0.484503716729252,0.0355308022547352,0.522984159324654,-3.16314351131229,0.031928679147533,"Y","TP0_v_TP5_amb",-1.91081838224239,0.0348782021335544,"Y","TP0_v_TP5_heat","Atrial natriuretic peptide receptor 1 [Stylophora pistillata]","Atrial natriuretic peptide receptor 1 OS=Mus musculus GN=Npr1 PE=1 SV=2",161,-22.21,"72.22%","88.89%",18,"GO:0008074; GO:0016021; GO:0005886; GO:0043235; GO:0005524; GO:0005525; GO:0004383; GO:0042562; GO:0016941; GO:0017046; GO:0004672; GO:0019901; GO:0006182; GO:0042417; GO:0035556; GO:0048662; GO:0030828; GO:0007168; GO:0050880","GO:0016021; GO:0005622; GO:0005524; GO:0004383; GO:0004672; GO:0035556","Positive"
"2","evm.TU.chromosome_1.1781","GO:0042417","dopamine metabolic process",66,1,0.11,0.00614,"Biological Processes",99,"Cluster_1452",0.484503716729252,0.0355308022547352,0.522984159324654,-3.16314351131229,0.031928679147533,"Y","TP0_v_TP5_amb",-1.91081838224239,0.0348782021335544,"Y","TP0_v_TP5_heat","Atrial natriuretic peptide receptor 1 [Stylophora pistillata]","Atrial natriuretic peptide receptor 1 OS=Mus musculus GN=Npr1 PE=1 SV=2",161,-22.21,"72.22%","88.89%",18,"GO:0008074; GO:0016021; GO:0005886; GO:0043235; GO:0005524; GO:0005525; GO:0004383; GO:0042562; GO:0016941; GO:0017046; GO:0004672; GO:0019901; GO:0006182; GO:0042417; GO:0035556; GO:0048662; GO:0030828; GO:0007168; GO:0050880","GO:0016021; GO:0005622; GO:0005524; GO:0004383; GO:0004672; GO:0035556","Positive"
"3","evm.TU.chromosome_1.1781","GO:0048662","negative regulation of smooth muscle cell prolifera...",25,1,0.04,0.00233,"Biological Processes",99,"Cluster_1452",0.484503716729252,0.0355308022547352,0.522984159324654,-3.16314351131229,0.031928679147533,"Y","TP0_v_TP5_amb",-1.91081838224239,0.0348782021335544,"Y","TP0_v_TP5_heat","Atrial natriuretic peptide receptor 1 [Stylophora pistillata]","Atrial natriuretic peptide receptor 1 OS=Mus musculus GN=Npr1 PE=1 SV=2",161,-22.21,"72.22%","88.89%",18,"GO:0008074; GO:0016021; GO:0005886; GO:0043235; GO:0005524; GO:0005525; GO:0004383; GO:0042562; GO:0016941; GO:0017046; GO:0004672; GO:0019901; GO:0006182; GO:0042417; GO:0035556; GO:0048662; GO:0030828; GO:0007168; GO:0050880","GO:0016021; GO:0005622; GO:0005524; GO:0004383; GO:0004672; GO:0035556","Positive"
"4","evm.TU.chromosome_1.1781","GO:0007168","receptor guanylyl cyclase signaling pathway",14,1,0.02,0.00131,"Biological Processes",99,"Cluster_1452",0.484503716729252,0.0355308022547352,0.522984159324654,-3.16314351131229,0.031928679147533,"Y","TP0_v_TP5_amb",-1.91081838224239,0.0348782021335544,"Y","TP0_v_TP5_heat","Atrial natriuretic peptide receptor 1 [Stylophora pistillata]","Atrial natriuretic peptide receptor 1 OS=Mus musculus GN=Npr1 PE=1 SV=2",161,-22.21,"72.22%","88.89%",18,"GO:0008074; GO:0016021; GO:0005886; GO:0043235; GO:0005524; GO:0005525; GO:0004383; GO:0042562; GO:0016941; GO:0017046; GO:0004672; GO:0019901; GO:0006182; GO:0042417; GO:0035556; GO:0048662; GO:0030828; GO:0007168; GO:0050880","GO:0016021; GO:0005622; GO:0005524; GO:0004383; GO:0004672; GO:0035556","Positive"
"5","evm.TU.chromosome_2.644","GO:0070842","aggresome assembly",3,1,0.01,0.00028,"Biological Processes",205,"Cluster_1765",0.580545153636092,0.0091561945381704,0.348272080189803,1.28522441936526,0.0369006668408379,"Y","TP0_v_TP7_amb",1.3612840075174,0.0379462900055039,"Y","TP0_v_TP5_heat","histone deacetylase 6-like [Orbicella faveolata]","Histone deacetylase 6 OS=Homo sapiens GN=HDAC6 PE=1 SV=2",172,-21.74,"89.47%","89.47%",19,"GO:0016235; GO:0030424; GO:0005901; GO:0031252; GO:0005737; GO:0005881; GO:0005829; GO:0030425; GO:0000118; GO:0016234; GO:0005874; GO:0005875; GO:0005771; GO:0005654; GO:0005634; GO:0043204; GO:0048471; GO:0003779; GO:0043014; GO:0008013; GO:0048487; GO:0001047; GO:0070840; GO:0019899; GO:0004407; GO:0042826; GO:0051879; GO:0008017; GO:0051787; GO:0032041; GO:0031593; GO:0048156; GO:0042903; GO:0043130; GO:0031625; GO:0008270; GO:0070842; GO:0006914; GO:0070301; GO:0071218; GO:0035967; GO:0060271; GO:0048668; GO:0060997; GO:0016575; GO:0070846; GO:0006886; GO:0032418; GO:0051646; GO:0010727; GO:0007026; GO:0051354; GO:0043242; GO:0045861; GO:0045892; GO:0061734; GO:0034983; GO:0070845; GO:0090035; GO:0010634; GO:1901300; GO:0010870; GO:0009967; GO:0043241; GO:0006476; GO:0000209; GO:0006515; GO:0060765; GO:0010506; GO:1903146; GO:0070201; GO:0045598; GO:0040029; GO:0016241; GO:0060632; GO:0031647; GO:0010469; GO:0070848; GO:0051788; GO:0010033; GO:0009636; GO:0006351; GO:0090042; GO:0043162","GO:0008270","Positive"
"6","evm.TU.chromosome_2.644","GO:0070301","cellular response to hydrogen peroxide",24,2,0.04,2.3e-06,"Biological Processes",205,"Cluster_1765",0.580545153636092,0.0091561945381704,0.348272080189803,1.28522441936526,0.0369006668408379,"Y","TP0_v_TP7_amb",1.3612840075174,0.0379462900055039,"Y","TP0_v_TP5_heat","histone deacetylase 6-like [Orbicella faveolata]","Histone deacetylase 6 OS=Homo sapiens GN=HDAC6 PE=1 SV=2",172,-21.74,"89.47%","89.47%",19,"GO:0016235; GO:0030424; GO:0005901; GO:0031252; GO:0005737; GO:0005881; GO:0005829; GO:0030425; GO:0000118; GO:0016234; GO:0005874; GO:0005875; GO:0005771; GO:0005654; GO:0005634; GO:0043204; GO:0048471; GO:0003779; GO:0043014; GO:0008013; GO:0048487; GO:0001047; GO:0070840; GO:0019899; GO:0004407; GO:0042826; GO:0051879; GO:0008017; GO:0051787; GO:0032041; GO:0031593; GO:0048156; GO:0042903; GO:0043130; GO:0031625; GO:0008270; GO:0070842; GO:0006914; GO:0070301; GO:0071218; GO:0035967; GO:0060271; GO:0048668; GO:0060997; GO:0016575; GO:0070846; GO:0006886; GO:0032418; GO:0051646; GO:0010727; GO:0007026; GO:0051354; GO:0043242; GO:0045861; GO:0045892; GO:0061734; GO:0034983; GO:0070845; GO:0090035; GO:0010634; GO:1901300; GO:0010870; GO:0009967; GO:0043241; GO:0006476; GO:0000209; GO:0006515; GO:0060765; GO:0010506; GO:1903146; GO:0070201; GO:0045598; GO:0040029; GO:0016241; GO:0060632; GO:0031647; GO:0010469; GO:0070848; GO:0051788; GO:0010033; GO:0009636; GO:0006351; GO:0090042; GO:0043162","GO:0008270","Positive"
"7","evm.TU.chromosome_2.644","GO:0071218","cellular response to misfolded protein",8,1,0.01,0.00075,"Biological Processes",205,"Cluster_1765",0.580545153636092,0.0091561945381704,0.348272080189803,1.28522441936526,0.0369006668408379,"Y","TP0_v_TP7_amb",1.3612840075174,0.0379462900055039,"Y","TP0_v_TP5_heat","histone deacetylase 6-like [Orbicella faveolata]","Histone deacetylase 6 OS=Homo sapiens GN=HDAC6 PE=1 SV=2",172,-21.74,"89.47%","89.47%",19,"GO:0016235; GO:0030424; GO:0005901; GO:0031252; GO:0005737; GO:0005881; GO:0005829; GO:0030425; GO:0000118; GO:0016234; GO:0005874; GO:0005875; GO:0005771; GO:0005654; GO:0005634; GO:0043204; GO:0048471; GO:0003779; GO:0043014; GO:0008013; GO:0048487; GO:0001047; GO:0070840; GO:0019899; GO:0004407; GO:0042826; GO:0051879; GO:0008017; GO:0051787; GO:0032041; GO:0031593; GO:0048156; GO:0042903; GO:0043130; GO:0031625; GO:0008270; GO:0070842; GO:0006914; GO:0070301; GO:0071218; GO:0035967; GO:0060271; GO:0048668; GO:0060997; GO:0016575; GO:0070846; GO:0006886; GO:0032418; GO:0051646; GO:0010727; GO:0007026; GO:0051354; GO:0043242; GO:0045861; GO:0045892; GO:0061734; GO:0034983; GO:0070845; GO:0090035; GO:0010634; GO:1901300; GO:0010870; GO:0009967; GO:0043241; GO:0006476; GO:0000209; GO:0006515; GO:0060765; GO:0010506; GO:1903146; GO:0070201; GO:0045598; GO:0040029; GO:0016241; GO:0060632; GO:0031647; GO:0010469; GO:0070848; GO:0051788; GO:0010033; GO:0009636; GO:0006351; GO:0090042; GO:0043162","GO:0008270","Positive"
"8","evm.TU.chromosome_2.644","GO:0060271","cilium assembly",354,3,0.61,5.2e-06,"Biological Processes",205,"Cluster_1765",0.580545153636092,0.0091561945381704,0.348272080189803,1.28522441936526,0.0369006668408379,"Y","TP0_v_TP7_amb",1.3612840075174,0.0379462900055039,"Y","TP0_v_TP5_heat","histone deacetylase 6-like [Orbicella faveolata]","Histone deacetylase 6 OS=Homo sapiens GN=HDAC6 PE=1 SV=2",172,-21.74,"89.47%","89.47%",19,"GO:0016235; GO:0030424; GO:0005901; GO:0031252; GO:0005737; GO:0005881; GO:0005829; GO:0030425; GO:0000118; GO:0016234; GO:0005874; GO:0005875; GO:0005771; GO:0005654; GO:0005634; GO:0043204; GO:0048471; GO:0003779; GO:0043014; GO:0008013; GO:0048487; GO:0001047; GO:0070840; GO:0019899; GO:0004407; GO:0042826; GO:0051879; GO:0008017; GO:0051787; GO:0032041; GO:0031593; GO:0048156; GO:0042903; GO:0043130; GO:0031625; GO:0008270; GO:0070842; GO:0006914; GO:0070301; GO:0071218; GO:0035967; GO:0060271; GO:0048668; GO:0060997; GO:0016575; GO:0070846; GO:0006886; GO:0032418; GO:0051646; GO:0010727; GO:0007026; GO:0051354; GO:0043242; GO:0045861; GO:0045892; GO:0061734; GO:0034983; GO:0070845; GO:0090035; GO:0010634; GO:1901300; GO:0010870; GO:0009967; GO:0043241; GO:0006476; GO:0000209; GO:0006515; GO:0060765; GO:0010506; GO:1903146; GO:0070201; GO:0045598; GO:0040029; GO:0016241; GO:0060632; GO:0031647; GO:0010469; GO:0070848; GO:0051788; GO:0010033; GO:0009636; GO:0006351; GO:0090042; GO:0043162","GO:0008270","Positive"
"9","evm.TU.chromosome_2.644","GO:0048668","collateral sprouting",13,1,0.02,0.00121,"Biological Processes",205,"Cluster_1765",0.580545153636092,0.0091561945381704,0.348272080189803,1.28522441936526,0.0369006668408379,"Y","TP0_v_TP7_amb",1.3612840075174,0.0379462900055039,"Y","TP0_v_TP5_heat","histone deacetylase 6-like [Orbicella faveolata]","Histone deacetylase 6 OS=Homo sapiens GN=HDAC6 PE=1 SV=2",172,-21.74,"89.47%","89.47%",19,"GO:0016235; GO:0030424; GO:0005901; GO:0031252; GO:0005737; GO:0005881; GO:0005829; GO:0030425; GO:0000118; GO:0016234; GO:0005874; GO:0005875; GO:0005771; GO:0005654; GO:0005634; GO:0043204; GO:0048471; GO:0003779; GO:0043014; GO:0008013; GO:0048487; GO:0001047; GO:0070840; GO:0019899; GO:0004407; GO:0042826; GO:0051879; GO:0008017; GO:0051787; GO:0032041; GO:0031593; GO:0048156; GO:0042903; GO:0043130; GO:0031625; GO:0008270; GO:0070842; GO:0006914; GO:0070301; GO:0071218; GO:0035967; GO:0060271; GO:0048668; GO:0060997; GO:0016575; GO:0070846; GO:0006886; GO:0032418; GO:0051646; GO:0010727; GO:0007026; GO:0051354; GO:0043242; GO:0045861; GO:0045892; GO:0061734; GO:0034983; GO:0070845; GO:0090035; GO:0010634; GO:1901300; GO:0010870; GO:0009967; GO:0043241; GO:0006476; GO:0000209; GO:0006515; GO:0060765; GO:0010506; GO:1903146; GO:0070201; GO:0045598; GO:0040029; GO:0016241; GO:0060632; GO:0031647; GO:0010469; GO:0070848; GO:0051788; GO:0010033; GO:0009636; GO:0006351; GO:0090042; GO:0043162","GO:0008270","Positive"
"10","evm.TU.chromosome_2.644","GO:0060997","dendritic spine morphogenesis",23,1,0.04,0.00215,"Biological Processes",205,"Cluster_1765",0.580545153636092,0.0091561945381704,0.348272080189803,1.28522441936526,0.0369006668408379,"Y","TP0_v_TP7_amb",1.3612840075174,0.0379462900055039,"Y","TP0_v_TP5_heat","histone deacetylase 6-like [Orbicella faveolata]","Histone deacetylase 6 OS=Homo sapiens GN=HDAC6 PE=1 SV=2",172,-21.74,"89.47%","89.47%",19,"GO:0016235; GO:0030424; GO:0005901; GO:0031252; GO:0005737; GO:0005881; GO:0005829; GO:0030425; GO:0000118; GO:0016234; GO:0005874; GO:0005875; GO:0005771; GO:0005654; GO:0005634; GO:0043204; GO:0048471; GO:0003779; GO:0043014; GO:0008013; GO:0048487; GO:0001047; GO:0070840; GO:0019899; GO:0004407; GO:0042826; GO:0051879; GO:0008017; GO:0051787; GO:0032041; GO:0031593; GO:0048156; GO:0042903; GO:0043130; GO:0031625; GO:0008270; GO:0070842; GO:0006914; GO:0070301; GO:0071218; GO:0035967; GO:0060271; GO:0048668; GO:0060997; GO:0016575; GO:0070846; GO:0006886; GO:0032418; GO:0051646; GO:0010727; GO:0007026; GO:0051354; GO:0043242; GO:0045861; GO:0045892; GO:0061734; GO:0034983; GO:0070845; GO:0090035; GO:0010634; GO:1901300; GO:0010870; GO:0009967; GO:0043241; GO:0006476; GO:0000209; GO:0006515; GO:0060765; GO:0010506; GO:1903146; GO:0070201; GO:0045598; GO:0040029; GO:0016241; GO:0060632; GO:0031647; GO:0010469; GO:0070848; GO:0051788; GO:0010033; GO:0009636; GO:0006351; GO:0090042; GO:0043162","GO:0008270","Positive"
