"","mirna_FC","mrna_FC","mirna","mrna","value","score","energy","subj_identity","query_identity","pvalue"
"chromosome_3_79553",-3.22436808125309,6.54208686178711,"chromosome_3_79553","evm.TU.chromosome_12.3776",9.7664549430402,145,-10.44,"78.57%","78.57%",0.01047
"chromosome_12_481048",-2.33674498469137,6.54208686178711,"chromosome_12_481048","evm.TU.chromosome_12.3776",8.87883184647848,148,-10.31,"60.00%","86.67%",0.0151
"chromosome_5_168528",3.17559214349715,-5.44649701842999,"chromosome_5_168528","evm.TU.chromosome_13.1047",8.62208916192714,151,-11.63,"65.00%","75.00%",0.0179
"chromosome_5_147390",2.58347217780817,-5.44649701842999,"chromosome_5_147390","evm.TU.chromosome_13.1047",8.02996919623816,146,-11.66,"73.33%","80.00%",0.03002
"chromosome_5_147456",2.58347217780817,-5.44649701842999,"chromosome_5_147456","evm.TU.chromosome_13.1047",8.02996919623816,146,-11.66,"73.33%","80.00%",0.03002
"chromosome_5_168528.1",3.17559214349715,-5.92563938408728,"chromosome_5_168528","evm.TU.chromosome_10.1241",9.10123152758443,159,-20.02,"73.91%","73.91%",0.01336
"chromosome_5_168528.2",3.17559214349715,-6.07436528067062,"chromosome_5_168528","evm.TU.chromosome_12.3640",9.24995742416777,155,-14.87,"70.00%","75.00%",0.01226
"chromosome_5_168528.3",3.17559214349715,-5.39410845394669,"chromosome_5_168528","evm.TU.chromosome_12.1869",8.56970059744384,146,-14.05,"88.89%","100.00%",0.01822
"chromosome_5_168528.4",3.17559214349715,-5.36230542628964,"chromosome_5_168528","evm.TU.chromosome_13.2897",8.53789756978679,145,-11.53,"100.00%","100.00%",0.01847
"chromosome_5_147390.1",2.58347217780817,-6.23383986149575,"chromosome_5_147390","evm.TU.chromosome_4.1816",8.81731203930392,148,-10.17,"70.59%","76.47%",0.01571
"chromosome_5_147456.1",2.58347217780817,-6.23383986149575,"chromosome_5_147456","evm.TU.chromosome_4.1816",8.81731203930392,148,-10.17,"70.59%","76.47%",0.01571
"chromosome_10_400118",-1.33662171967117,-9.7441388734026,"chromosome_10_400118","evm.TU.chromosome_6.1434",8.40751715373143,150,-14.21,"100.00%","100.00%",0.02115
"chromosome_4_135958",-1.94475184018536,-9.7441388734026,"chromosome_4_135958","evm.TU.chromosome_6.1434",7.79938703321724,148,-13.15,"63.16%","78.95%",0.03676
"chromosome_4_135958.1",-1.94475184018536,6.36071098476241,"chromosome_4_135958","evm.TU.chromosome_7.28",8.30546282494777,153,-14.25,"72.22%","77.78%",0.0229
"chromosome_5_168528.5",3.17559214349715,-4.71237693974311,"chromosome_5_168528","evm.TU.chromosome_13.4157",7.88796908324026,146,-11.98,"73.68%","73.68%",0.03311
"chromosome_4_135958.2",-1.94475184018536,5.5535872804586,"chromosome_4_135958","evm.TU.chromosome_13.1515",7.49833912064396,160,-16.26,"78.95%","84.21%",0.04457
"chromosome_4_135958.3",-1.94475184018536,5.5535872804586,"chromosome_4_135958","evm.TU.chromosome_13.1515",7.49833912064396,171,-15.46,"83.33%","83.33%",0.04457
"chromosome_5_168528.6",3.17559214349715,-7.27561660961394,"chromosome_5_168528","evm.TU.chromosome_6.1006",10.4512087531111,146,-13.23,"68.18%","68.18%",0.00812000000000002
"chromosome_4_135958.4",-1.94475184018536,5.99456123564599,"chromosome_4_135958","evm.TU.chromosome_8.2064",7.93931307583135,156,-17.16,"70.59%","88.24%",0.03176
"chromosome_4_135958.5",-1.94475184018536,5.99456123564599,"chromosome_4_135958","evm.TU.chromosome_8.2064",7.93931307583135,169,-21.22,"83.33%","88.89%",0.03176
"chromosome_5_168528.7",3.17559214349715,-4.30668304810001,"chromosome_5_168528","evm.TU.chromosome_6.84",7.48227519159716,147,-11.45,"71.43%","78.57%",0.04489
"chromosome_5_168528.8",3.17559214349715,-4.22438747858225,"chromosome_5_168528","evm.TU.chromosome_4.2495",7.3999796220794,164,-17.73,"82.35%","88.24%",0.047
"chromosome_5_168528.9",3.17559214349715,-8.26384423388228,"chromosome_5_168528","evm.TU.chromosome_14.6219",11.4394363773794,156,-20.4,"66.67%","76.19%",0.00585000000000002
"chromosome_5_168528.10",3.17559214349715,-4.38908752539636,"chromosome_5_168528","evm.TU.chromosome_10.41",7.56467966889351,148,-11.44,"81.82%","90.91%",0.04301
"chromosome_5_168528.11",3.17559214349715,-5.29341414172083,"chromosome_5_168528","evm.TU.chromosome_12.1865",8.46900628521798,150,-11.8,"64.71%","76.47%",0.0202599999999999
"chromosome_4_131850",-1.26929856081406,23.0269462176754,"chromosome_4_131850","evm.TU.chromosome_14.5366",24.2962447784895,145,-16.41,"66.67%","72.22%",0.00146000000000002
"chromosome_4_131836",-1.26929856081406,23.0269462176754,"chromosome_4_131836","evm.TU.chromosome_14.5366",24.2962447784895,145,-16.41,"66.67%","72.22%",0.00146000000000002
"chromosome_4_131810",-1.26929856081406,23.0269462176754,"chromosome_4_131810","evm.TU.chromosome_14.5366",24.2962447784895,145,-16.41,"66.67%","72.22%",0.00146000000000002
