mrna,function,ncbi_link,Notes
evm.TU.chromosome_12.1878,Transmembrane protease,https://www.ncbi.nlm.nih.gov/protein/XP_058973459.1?report=genbank&log$=protalign&blast_rank=2&RID=4RSZ2JM7016,
evm.TU.chromosome_8.2226,unknown,NA,
evm.TU.chromosome_10.3111,aldo/leto reductase,https://www.ncbi.nlm.nih.gov/protein/XP_058955905.1?report=genbank&log$=protalign&blast_rank=2&RID=4RWCCSH8016,
evm.TU.chromosome_9.1668,toxin candidate,https://www.ncbi.nlm.nih.gov/protein/QNH72484.1?report=genbank&log$=protalign&blast_rank=3&RID=4RW16K50016,
evm.TU.chromosome_12.122,unknown,NA,
evm.TU.chromosome_5.1197,actin,https://www.ncbi.nlm.nih.gov/protein/XP_015753792.1?report=genbank&log$=protalign&blast_rank=1&RID=4S1ZR5DP013,
evm.TU.chromosome_9.700,caspase,https://www.ncbi.nlm.nih.gov/protein/XP_020629413.1?report=genbank&log$=protalign&blast_rank=2&RID=4S2211VU013,
evm.TU.chromosome_12.690,unknown,NA,
evm.TU.chromosome_6.1512,unknown,NA,
evm.TU.chromosome_12.2852,phospholipoase A2 A2-actitoxin,https://www.ncbi.nlm.nih.gov/protein/XP_058946411.1?report=genbank&log$=protalign&blast_rank=1&RID=4RT75DD0013,
evm.TU.chromosome_11.2803,TNF receptor associated factor,https://www.ncbi.nlm.nih.gov/protein/XP_020612176.1?report=genbank&log$=prottop&blast_rank=1&RID=4S1MYE7A016,
evm.TU.chromosome_14.6207,protein PRY1,https://www.ncbi.nlm.nih.gov/protein/XP_027039168.1?report=genbank&log$=protalign&blast_rank=1&RID=4RXHD4XP013,
evm.TU.chromosome_10.3085,unknown,NA,
evm.TU.chromosome_13.2897,Delta stichotoxin Shd3a,https://www.ncbi.nlm.nih.gov/protein/B1B5I9.1?report=genbank&log$=protalign&blast_rank=1&RID=4RVA8NHU013,
evm.TU.chromosome_1.997,unknown,NA,
evm.TU.chromosome_4.1816,BTB/POZ domain containing protein,https://www.ncbi.nlm.nih.gov/protein/XP_020628971.1?report=genbank&log$=protalign&blast_rank=1&RID=4S0NPTRW016,
evm.TU.chromosome_6.1434,unknown,NA,
evm.TU.chromosome_4.902,unknown,NA,
evm.TU.chromosome_3.1666,vitellogenin,https://www.ncbi.nlm.nih.gov/protein/XP_020604940.1?report=genbank&log$=protalign&blast_rank=1&RID=4S1TJNA1013,
evm.TU.chromosome_2.1058,unknown,NA,
evm.TU.chromosome_2.769,U6 snRNA associated Sm-like protein,https://www.ncbi.nlm.nih.gov/protein/XP_027044005.1?report=genbank&log$=protalign&blast_rank=1&RID=4RWNT6WA016,
evm.TU.chromosome_2.762,unknown,NA,
evm.TU.chromosome_12.2940,cartilage intermediate layer protein,https://www.ncbi.nlm.nih.gov/protein/XP_027045710.1?report=genbank&log$=protalign&blast_rank=1&RID=4RVDVAA9013,
evm.TU.chromosome_14.6624,tubulin beta 4B,https://www.ncbi.nlm.nih.gov/protein/XP_020631466.1?report=genbank&log$=protalign&blast_rank=3&RID=4RVJ68RU016,
evm.TU.chromosome_14.6219,protein PRY1,https://www.ncbi.nlm.nih.gov/protein/XP_027039168.1?report=genbank&log$=protalign&blast_rank=1&RID=4RXHD4XP013,
evm.TU.chromosome_3.1348,unknown,NA,
evm.TU.chromosome_13.1842,cell wall mannoprotein HSP150,https://www.ncbi.nlm.nih.gov/protein/XP_032829894.1?report=genbank&log$=protalign&blast_rank=9&RID=4RVU0MBF016,
evm.TU.chromosome_12.1784,angiopoietin,https://www.ncbi.nlm.nih.gov/protein/CAB3994344.1?report=genbank&log$=protalign&blast_rank=1&RID=4S0940JY013,
evm.TU.chromosome_13.3761,"sushi von Willebrand factor type A, EGF and pentraxin domain containing protein",https://www.ncbi.nlm.nih.gov/protein/XP_020611613.1?report=genbank&log$=protalign&blast_rank=4&RID=4RWZBVT2013,
evm.TU.chromosome_12.3776,microfibril-associated glycoprotein 4,https://www.ncbi.nlm.nih.gov/protein/XP_020608625.1?report=genbank&log$=protalign&blast_rank=1&RID=4RYGKRV0016,
evm.TU.chromosome_13.1047,ganglioside GM2 activator,,
evm.TU.chromosome_10.1241,D-inositol 3-phosphate glycosyltransferase,,
evm.TU.chromosome_12.3640,unknown,NA,
evm.TU.chromosome_12.1869,delta thalatoxin Avla2a,,
evm.TU.chromosome_7.28,unknown,NA,
evm.TU.chromosome_13.4157,unknown,NA,
evm.TU.chromosome_13.1515,RNA-directed DNA polymerase from mobile element jockey,,
evm.TU.chromosome_6.1006,high mobility group protein B2,,
evm.TU.chromosome_8.2064,unknown,NA,
evm.TU.chromosome_6.84,blastula protease 10,,could also be zinc metalloproteinase nas-15
evm.TU.chromosome_4.2495,RNA polymerase II degradation factor,,
evm.TU.chromosome_10.41,unknown,NA,
evm.TU.chromosome_12.1865,delta thalatoxin Avla2a,,
evm.TU.chromosome_12.3088,unknown,NA,
evm.TU.chromosome_12.3432,unknown,NA,
evm.TU.chromosome_10.1377,unknown,NA,
evm.TU.chromosome_10.1376,unknown,NA,
